time,open,high,low,close,vwap,volume,count
2020-04-10 11:30:00,6900.00,6900.00,6900.00,6900.00,0.00,0.00000000,0
2020-04-10 12:00:00,6900.00,6900.00,6900.00,6900.00,0.00,0.00000000,0
2020-04-10 12:30:00,6908.71,6918.23,6903.34,6903.34,6913.40,2.37260562,13
2020-04-10 13:00:00,6918.51,6918.51,6900.00,6900.00,6913.21,0.35000000,4
2020-04-10 14:00:00,6900.00,6900.00,6900.00,6900.00,0.00,0.00000000,0
2020-04-10 14:30:00,6882.99,6882.99,6879.46,6879.47,6880.08,0.06070606,3
2020-04-10 15:00:00,6834.38,6842.01,6800.00,6800.00,6826.50,1.44083159,10
2020-04-10 15:30:00,6786.00,6814.39,6786.00,6814.39,6786.13,0.59209382,2
2020-04-10 16:00:00,6814.39,6826.96,6802.21,6826.96,6826.52,0.68766058,6
2020-04-10 16:30:00,6838.68,6838.68,6836.36,6836.40,6836.45,0.34000000,4
2020-04-10 17:00:00,6866.10,6866.10,6866.10,6866.10,6866.10,0.67013046,1
2020-04-10 17:30:00,6866.10,6866.10,6866.10,6866.10,0.00,0.00000000,0
2020-04-10 18:00:00,6866.10,6866.10,6866.10,6866.10,0.00,0.00000000,0
2020-04-10 18:30:00,6866.10,6866.10,6866.10,6866.10,0.00,0.00000000,0
2020-04-10 20:00:00,6866.10,6866.10,6866.10,6866.10,0.00,0.00000000,0
2020-04-10 20:30:00,6866.10,6926.66,6866.10,6908.21,6917.48,0.99200000,7
2020-04-10 22:00:00,6908.21,6908.21,6908.21,6908.21,0.00,0.00000000,0
2020-04-10 22:30:00,6864.18,6864.18,6864.17,6864.17,6864.17,0.06992114,2
2020-04-11 00:00:00,6864.17,6864.17,6864.17,6864.17,0.00,0.00000000,0
2020-04-11 00:30:00,6883.62,6883.62,6878.91,6878.91,6881.14,0.03655000,4
2020-04-11 01:30:00,6878.91,6878.91,6878.91,6878.91,0.00,0.00000000,0
2020-04-11 02:00:00,6933.51,6933.51,6933.51,6933.51,6933.51,0.00346648,1
2020-04-11 03:00:00,6933.51,6933.51,6933.51,6933.51,0.00,0.00000000,0
2020-04-11 03:30:00,6918.87,6918.87,6918.87,6918.87,6918.87,0.02534289,1
2020-04-11 04:00:00,6949.70,6949.71,6949.70,6949.71,6949.70,0.15015047,2
2020-04-11 05:00:00,6949.71,6949.71,6949.71,6949.71,0.00,0.00000000,0
2020-04-11 05:30:00,6924.74,6939.80,6924.74,6939.80,6935.70,1.03056655,4
2020-04-11 06:00:00,6927.65,6927.65,6927.65,6927.65,6927.65,0.00348000,2
2020-04-11 06:30:00,6943.79,6943.79,6943.79,6943.79,6943.79,0.03000000,1
2020-04-11 07:00:00,6904.39,6904.39,6904.39,6904.39,6904.39,0.39280000,1
2020-04-11 09:00:00,6904.39,6904.39,6904.39,6904.39,0.00,0.00000000,0
2020-04-11 09:30:00,6904.39,6904.39,6904.39,6904.39,0.00,0.00000000,0
2020-04-11 10:00:00,6904.39,6904.39,6904.39,6904.39,0.00,0.00000000,0
2020-04-11 10:30:00,6904.39,6904.39,6904.39,6904.39,0.00,0.00000000,0
