time,open,high,low,close,vwap,volume,count
2020-03-26 11:00:00,6586.71,6586.71,6586.71,6586.71,0.00,0.00000000,0
2020-03-26 12:00:00,6586.71,6628.33,6586.71,6628.33,6607.93,0.38000276,5
2020-03-26 13:00:00,6628.33,6681.49,6563.57,6636.99,6607.46,3.54259386,35
2020-03-26 14:00:00,6636.99,6636.99,6629.88,6629.88,6629.88,0.05020000,3
2020-03-26 15:00:00,6629.88,6629.88,6609.20,6609.20,6610.83,0.53498470,9
2020-03-26 16:00:00,6609.20,6609.20,6608.95,6608.95,6608.95,0.02028628,1
2020-03-26 17:00:00,6692.06,6692.06,6649.30,6649.30,6677.15,0.02295405,2
2020-03-26 18:00:00,6655.65,6659.40,6653.37,6659.40,6654.59,0.24003468,5
2020-03-26 19:00:00,6659.40,6686.70,6659.40,6686.70,6686.70,0.00628334,1
2020-03-26 20:00:00,6686.70,6727.31,6686.70,6723.88,6717.58,2.08878293,8
2020-03-26 21:00:00,6723.88,6780.78,6723.88,6773.40,6770.45,3.44929889,12
2020-03-26 22:00:00,6773.40,6773.40,6701.72,6724.10,6704.64,0.29292870,5
2020-03-26 23:00:00,6724.10,6757.12,6724.10,6750.80,6748.66,0.35212956,3
2020-03-27 00:00:00,6750.80,6831.86,6750.80,6831.86,6831.86,0.08471615,1
2020-03-27 01:00:00,6831.86,6831.86,6831.86,6831.86,0.00,0.00000000,0
2020-03-27 02:00:00,6812.38,6824.94,6812.38,6824.94,6820.94,2.95000000,5
2020-03-27 03:00:00,6824.94,6824.94,6814.51,6814.51,6820.93,0.52455388,3
2020-03-27 04:00:00,6814.51,6814.51,6814.51,6814.51,0.00,0.00000000,0
2020-03-27 05:00:00,6814.51,6814.51,6814.51,6814.51,0.00,0.00000000,0
2020-03-27 06:00:00,6814.51,6814.51,6700.30,6700.30,6700.30,0.03447000,1
2020-03-27 07:00:00,6700.30,6700.30,6700.30,6700.30,0.00,0.00000000,0
2020-03-27 08:00:00,6700.30,6700.30,6700.30,6700.30,0.00,0.00000000,0
2020-03-27 09:00:00,6700.30,6712.10,6700.30,6712.10,6712.09,0.72953936,3
2020-03-27 10:00:00,6655.02,6676.34,6618.10,6676.34,6634.00,1.59192777,11
