time,time_fmt,open,high,low,close,vwap,volume,count
1586518200,2020-04-10 11:30:00+00:00,68.028,68.059,67.574,68.059,67.855,135.83163493,16
1586520000,2020-04-10 12:00:00+00:00,68.059,68.145,67.648,67.808,67.942,14.36585159,13
1586521800,2020-04-10 12:30:00+00:00,67.808,67.961,67.808,67.874,67.873,110.49960707,6
1586523600,2020-04-10 13:00:00+00:00,67.874,67.874,66.604,66.750,67.263,38.04629864,34
1586525400,2020-04-10 13:30:00+00:00,66.750,67.153,66.111,67.153,66.392,99.73182874,36
1586527200,2020-04-10 14:00:00+00:00,67.153,67.686,66.835,66.835,67.572,2.85461297,4
1586529000,2020-04-10 14:30:00+00:00,66.835,66.835,66.459,66.598,66.627,15.17876230,10
1586530800,2020-04-10 15:00:00+00:00,66.598,66.680,65.302,65.500,65.834,208.19902969,73
1586532600,2020-04-10 15:30:00+00:00,65.500,65.874,64.728,65.099,65.182,43.18712213,52
1586534400,2020-04-10 16:00:00+00:00,64.626,65.999,64.290,65.999,64.963,25.47560632,27
1586536200,2020-04-10 16:30:00+00:00,65.999,66.958,65.785,66.958,66.429,29.88678217,17
1586538000,2020-04-10 17:00:00+00:00,66.958,67.153,66.512,67.150,66.827,317.95734817,53
1586539800,2020-04-10 17:30:00+00:00,67.150,67.150,66.820,66.963,67.001,111.54549196,19
1586541600,2020-04-10 18:00:00+00:00,66.919,66.999,66.512,66.999,66.769,330.08388393,24
1586543400,2020-04-10 18:30:00+00:00,66.999,67.235,66.915,67.042,67.186,222.68371673,22
1586545200,2020-04-10 19:00:00+00:00,67.042,67.715,67.042,67.593,67.561,22.82488136,18
1586547000,2020-04-10 19:30:00+00:00,67.593,67.593,66.600,66.733,67.002,156.84455320,35
1586548800,2020-04-10 20:00:00+00:00,66.733,67.140,66.517,66.943,66.869,293.76200000,19
1586550600,2020-04-10 20:30:00+00:00,66.943,67.053,66.819,66.923,67.001,58.32751446,12
1586552400,2020-04-10 21:00:00+00:00,66.923,67.385,66.923,67.226,67.278,6.02880113,4
1586554200,2020-04-10 21:30:00+00:00,67.226,67.400,67.226,67.396,67.391,3.95875471,5
1586556000,2020-04-10 22:00:00+00:00,67.287,67.537,67.058,67.236,67.342,121.53883877,14
1586557800,2020-04-10 22:30:00+00:00,67.251,67.350,66.574,66.574,67.243,70.51637383,11
1586559600,2020-04-10 23:00:00+00:00,66.835,67.040,66.702,66.702,66.837,1.06000000,3
1586561400,2020-04-10 23:30:00+00:00,66.702,68.313,66.690,68.257,67.607,387.30461848,90
1586563200,2020-04-11 00:00:00+00:00,67.924,68.364,67.604,67.604,67.992,40.12437923,31
1586565000,2020-04-11 00:30:00+00:00,67.923,68.261,67.694,68.209,68.005,3.69965005,8
1586566800,2020-04-11 01:00:00+00:00,68.209,68.209,68.209,68.209,0.000,0.00000000,0
1586568600,2020-04-11 01:30:00+00:00,68.209,68.209,68.160,68.160,68.160,0.90000000,2
1586570400,2020-04-11 02:00:00+00:00,68.160,68.522,68.160,68.427,68.480,0.71509692,4
1586572200,2020-04-11 02:30:00+00:00,68.427,68.427,68.427,68.427,0.000,0.00000000,0
1586574000,2020-04-11 03:00:00+00:00,68.427,68.837,68.427,68.775,68.771,4.27600000,4
1586575800,2020-04-11 03:30:00+00:00,68.775,68.775,68.775,68.775,0.000,0.00000000,0
1586577600,2020-04-11 04:00:00+00:00,68.870,69.337,68.870,69.016,69.099,10.27449213,18
1586579400,2020-04-11 04:30:00+00:00,69.400,69.400,69.400,69.400,69.400,0.10000000,1
1586581200,2020-04-11 05:00:00+00:00,69.066,69.313,69.000,69.313,69.298,51.55300828,6
1586583000,2020-04-11 05:30:00+00:00,69.257,69.257,69.257,69.257,69.257,0.15000000,1
1586584800,2020-04-11 06:00:00+00:00,69.257,71.245,69.257,71.116,70.700,309.73235892,66
1586586600,2020-04-11 06:30:00+00:00,71.116,71.220,70.763,70.807,70.866,138.59286159,25
1586588400,2020-04-11 07:00:00+00:00,70.807,70.807,69.625,69.625,70.036,114.75157941,32
1586590200,2020-04-11 07:30:00+00:00,69.200,69.901,68.919,69.763,69.840,99.57541784,24
1586592000,2020-04-11 08:00:00+00:00,69.763,69.763,69.678,69.679,69.678,7.16712297,2
1586593800,2020-04-11 08:30:00+00:00,69.679,69.679,69.673,69.673,69.673,0.13138182,3
1586595600,2020-04-11 09:00:00+00:00,69.673,69.673,69.300,69.596,69.300,75.12507487,24
1586597400,2020-04-11 09:30:00+00:00,69.306,69.333,68.123,68.934,68.712,29.67485623,23
1586599200,2020-04-11 10:00:00+00:00,68.811,69.098,68.811,68.882,69.065,5.67859728,3
1586601000,2020-04-11 10:30:00+00:00,68.617,68.617,68.345,68.345,68.428,1.78352973,5
1586602800,2020-04-11 11:00:00+00:00,68.889,69.000,68.889,69.000,68.955,2.50000000,5
1586604600,2020-04-11 11:30:00+00:00,68.999,69.000,68.960,68.960,68.998,88.40820186,20
1586606400,2020-04-11 12:00:00+00:00,68.960,69.250,68.960,69.250,69.245,30.31226438,15
1586608200,2020-04-11 12:30:00+00:00,69.250,69.250,69.000,69.000,69.000,0.03098135,1
1586610000,2020-04-11 13:00:00+00:00,69.000,69.000,68.970,68.970,68.995,0.94842898,3
1586611800,2020-04-11 13:30:00+00:00,68.881,68.881,68.450,68.659,68.470,26.81816036,15
1586613600,2020-04-11 14:00:00+00:00,68.449,68.449,67.841,68.023,68.241,184.69594804,59
1586615400,2020-04-11 14:30:00+00:00,68.240,68.290,68.240,68.290,68.240,21.23082443,7
1586617200,2020-04-11 15:00:00+00:00,68.290,68.346,68.083,68.346,68.336,53.29804790,7
1586619000,2020-04-11 15:30:00+00:00,68.555,68.655,68.555,68.655,68.568,0.36200000,2
1586620800,2020-04-11 16:00:00+00:00,68.545,69.803,68.545,68.737,68.864,139.52138249,79
