time,open,high,low,close,vwap,volume,count
2020-04-17 23:00:00,7074.97,7074.97,7074.97,7074.97,7074.97,0.01200000,6
2020-04-17 23:15:00,7092.20,7138.50,7092.20,7138.50,7092.34,1.00492697,4
2020-04-17 23:30:00,7057.54,7057.54,7053.04,7053.04,7053.88,0.03571937,3
2020-04-18 00:00:00,7053.04,7053.04,7053.04,7053.04,0.00,0.00000000,0
2020-04-18 00:15:00,7056.01,7056.01,7047.67,7047.67,7053.72,1.73278000,8
2020-04-18 00:30:00,7047.67,7047.67,7047.67,7047.67,0.00,0.00000000,0
2020-04-18 00:45:00,7047.67,7047.67,7047.67,7047.67,0.00,0.00000000,0
2020-04-18 01:00:00,7047.67,7047.67,7047.67,7047.67,0.00,0.00000000,0
2020-04-18 01:15:00,7088.99,7088.99,7088.99,7088.99,7088.99,0.00200000,1
2020-04-18 02:00:00,7088.99,7088.99,7088.99,7088.99,0.00,0.00000000,0
2020-04-18 02:15:00,7114.59,7114.59,7114.59,7114.59,7114.59,0.04194667,1
2020-04-18 03:30:00,7114.59,7114.59,7114.59,7114.59,0.00,0.00000000,0
2020-04-18 03:45:00,7107.83,7107.83,7107.83,7107.83,7107.83,0.01292074,1
2020-04-18 04:00:00,7115.97,7115.97,7115.97,7115.97,7115.97,0.04331949,2
2020-04-18 05:30:00,7115.97,7115.97,7115.97,7115.97,0.00,0.00000000,0
2020-04-18 05:45:00,7120.88,7120.88,7120.88,7120.88,7120.88,0.00200000,1
2020-04-18 06:30:00,7120.88,7120.88,7120.88,7120.88,0.00,0.00000000,0
2020-04-18 06:45:00,7092.92,7092.92,7092.90,7092.90,7092.90,0.15000000,3
2020-04-18 08:30:00,7092.90,7092.90,7092.90,7092.90,0.00,0.00000000,0
2020-04-18 08:45:00,7092.90,7092.90,7092.90,7092.90,0.00,0.00000000,0
2020-04-18 09:15:00,7092.90,7092.90,7092.90,7092.90,0.00,0.00000000,0
2020-04-18 09:30:00,7092.90,7092.90,7092.90,7092.90,0.00,0.00000000,0
2020-04-18 10:00:00,7092.90,7092.90,7092.90,7092.90,0.00,0.00000000,0
